State,Year,Energy
WA,2017,1175.4
WA,2018,1210.9
WA,2019,1265.0
WA,2020,1271.9
SA,1974,215.4
SA,1975,222.8
SA,1976,234.5
SA,1977,249.3
SA,1978,247.7
SA,1979,259.6
SA,1980,264.2
SA,1981,255.7
SA,1982,260.0
SA,1983,254.6
SA,1984,258.0
SA,1985,280.2
SA,1986,284.5
SA,1987,284.7
SA,1988,291.1
SA,1989,299.3
SA,1990,301.9
SA,1991,287.4
SA,1992,296.9
SA,1993,300.1
SA,1994,304.8
SA,1995,304.4
SA,1996,296.6
SA,1997,299.7
SA,1998,311.9
SA,1999,327.2
SA,2000,328.0
SA,2001,329.3
SA,2002,328.1
SA,2003,357.3
SA,2004,371.5
SA,2005,355.6
SA,2006,350.1
SA,2007,375.5
SA,2008,372.5
SA,2009,357.2
SA,2010,343.7
SA,2011,342.8
SA,2012,307.7
SA,2013,356.3
SA,2014,343.6
SA,2015,363.6
SA,2016,323.2
SA,2017,294.1
SA,2018,336.0
SA,2019,321.3
SA,2020,312.7
TAS,1974,71.9
TAS,1975,71.3
TAS,1976,71.9
TAS,1977,77.0
TAS,1978,78.4
TAS,1979,82.0
TAS,1980,84.6
TAS,1981,83.3
TAS,1982,84.5
TAS,1983,82.3
TAS,1984,83.3
TAS,1985,85.0
TAS,1986,86.4
TAS,1987,85.4
TAS,1988,89.5
TAS,1989,92.0
TAS,1990,96.6
TAS,1991,97.6
TAS,1992,89.3
TAS,1993,90.1
TAS,1994,92.0
TAS,1995,92.4
TAS,1996,93.0
TAS,1997,94.8
TAS,1998,95.8
TAS,1999,95.7
TAS,2000,95.8
TAS,2001,93.6
TAS,2002,97.2
TAS,2003,99.5
TAS,2004,103.4
TAS,2005,107.4
TAS,2006,111.6
TAS,2007,113.3
TAS,2008,115.5
TAS,2009,113.8
TAS,2010,113.7
TAS,2011,113.8
TAS,2012,107.0
TAS,2013,112.3
TAS,2014,107.5
TAS,2015,104.4
TAS,2016,106.5
TAS,2017,106.8
TAS,2018,110.0
TAS,2019,107.6
TAS,2020,99.4
